id,year,month,day,hour,season,PM,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,date
34,2010,1,2,10,4,152.0,-7.0,85.0,1026.0,-5.0,3,17.43,0.0,2010-01-02 10:00:00
35,2010,1,2,11,4,148.0,-8.0,79.0,1026.0,-5.0,3,20.56,0.0,2010-01-02 11:00:00
36,2010,1,2,12,4,164.0,-8.0,79.0,1026.0,-5.0,3,23.69,0.0,2010-01-02 12:00:00
37,2010,1,2,13,4,158.0,-8.0,79.0,1025.0,-5.0,3,27.71,0.0,2010-01-02 13:00:00
38,2010,1,2,14,4,154.0,-9.0,73.0,1025.0,-5.0,3,31.73,0.0,2010-01-02 14:00:00
39,2010,1,2,15,4,159.0,-9.0,73.0,1025.0,-5.0,3,35.75,0.0,2010-01-02 15:00:00
40,2010,1,2,16,4,164.0,-9.0,73.0,1026.0,-5.0,3,37.54,0.0,2010-01-02 16:00:00
41,2010,1,2,17,4,170.0,-8.0,79.0,1027.0,-5.0,3,39.33,0.0,2010-01-02 17:00:00
42,2010,1,2,18,4,149.0,-8.0,79.0,1027.0,-5.0,3,42.46,0.0,2010-01-02 18:00:00
43,2010,1,2,19,4,154.0,-8.0,79.0,1028.0,-5.0,3,44.25,0.0,2010-01-02 19:00:00
44,2010,1,2,20,4,164.0,-7.0,85.0,1028.0,-5.0,3,46.04,0.0,2010-01-02 20:00:00
45,2010,1,2,21,4,156.0,-7.0,85.0,1027.0,-5.0,3,49.17,0.0,2010-01-02 21:00:00
46,2010,1,2,22,4,126.0,-8.0,85.0,1028.0,-6.0,3,52.3,0.0,2010-01-02 22:00:00
47,2010,1,2,23,4,90.0,-8.0,85.0,1027.0,-6.0,3,55.43,0.0,2010-01-02 23:00:00
48,2010,1,3,0,4,63.0,-7.0,92.0,1027.0,-6.0,3,58.56,0.4,2010-01-03 00:00:00
49,2010,1,3,1,4,65.0,-8.0,85.0,1026.0,-6.0,3,61.69,0.5,2010-01-03 01:00:00
50,2010,1,3,2,4,55.0,-8.0,92.0,1026.0,-7.0,3,65.71,0.5,2010-01-03 02:00:00
51,2010,1,3,3,4,65.0,-8.0,92.0,1025.0,-7.0,3,68.84,0.7,2010-01-03 03:00:00
52,2010,1,3,4,4,83.0,-8.0,92.0,1024.0,-7.0,3,72.86,1.2,2010-01-03 04:00:00
53,2010,1,3,5,4,91.0,-9.0,92.0,1024.0,-8.0,3,76.88,0.7,2010-01-03 05:00:00
54,2010,1,3,6,4,86.0,-10.0,85.0,1024.0,-8.0,3,80.9,1.0,2010-01-03 06:00:00
55,2010,1,3,7,4,82.0,-10.0,92.0,1024.0,-9.0,3,84.92,0.7,2010-01-03 07:00:00
56,2010,1,3,8,4,86.0,-10.0,92.0,1024.0,-9.0,3,89.84,0.5,2010-01-03 08:00:00
57,2010,1,3,9,4,78.0,-11.0,85.0,1023.0,-9.0,3,93.86,0.7,2010-01-03 09:00:00
58,2010,1,3,10,4,98.0,-11.0,85.0,1023.0,-9.0,3,97.88,0.4,2010-01-03 10:00:00
59,2010,1,3,11,4,107.0,-11.0,85.0,1022.0,-9.0,3,102.8,0.5,2010-01-03 11:00:00
60,2010,1,3,12,4,90.0,-11.0,85.0,1021.0,-9.0,3,105.93,1.1,2010-01-03 12:00:00
61,2010,1,3,13,4,96.0,-11.0,85.0,1020.0,-9.0,3,111.74,0.5,2010-01-03 13:00:00
62,2010,1,3,14,4,95.0,-11.0,85.0,1020.0,-9.0,3,116.66,0.3,2010-01-03 14:00:00
63,2010,1,3,15,4,86.0,-11.0,85.0,1020.0,-9.0,3,121.58,0.5,2010-01-03 15:00:00
64,2010,1,3,16,4,70.0,-11.0,85.0,1020.0,-9.0,3,124.71,0.2,2010-01-03 16:00:00
65,2010,1,3,17,4,61.0,-11.0,85.0,1020.0,-9.0,3,127.84,0.1,2010-01-03 17:00:00
66,2010,1,3,18,4,53.0,-11.0,85.0,1021.0,-9.0,0,0.89,0.4,2010-01-03 18:00:00
67,2010,1,3,19,4,71.0,-11.0,85.0,1022.0,-9.0,0,1.78,0.3,2010-01-03 19:00:00
68,2010,1,3,20,4,72.0,-10.0,92.0,1022.0,-9.0,1,4.02,0.0,2010-01-03 20:00:00
69,2010,1,3,21,4,76.0,-11.0,92.0,1023.0,-10.0,1,7.15,0.0,2010-01-03 21:00:00
70,2010,1,3,22,4,73.0,-11.0,85.0,1023.0,-9.0,1,11.17,0.0,2010-01-03 22:00:00
71,2010,1,3,23,4,79.0,-12.0,92.0,1023.0,-11.0,1,14.3,0.0,2010-01-03 23:00:00
72,2010,1,4,0,4,58.0,-14.0,85.0,1023.0,-12.0,1,16.09,0.0,2010-01-04 00:00:00
73,2010,1,4,1,4,25.0,-16.0,56.0,1023.0,-9.0,1,21.9,0.0,2010-01-04 01:00:00
74,2010,1,4,2,4,26.0,-17.0,56.0,1024.0,-10.0,1,29.95,0.0,2010-01-04 02:00:00
75,2010,1,4,3,4,28.0,-18.0,56.0,1024.0,-11.0,1,39.78,0.0,2010-01-04 03:00:00
76,2010,1,4,4,4,26.0,-19.0,51.0,1025.0,-11.0,1,48.72,0.0,2010-01-04 04:00:00
77,2010,1,4,5,4,20.0,-20.0,51.0,1026.0,-12.0,1,55.87,0.0,2010-01-04 05:00:00
78,2010,1,4,6,4,29.0,-21.0,47.0,1027.0,-12.0,1,64.81,0.0,2010-01-04 06:00:00
79,2010,1,4,7,4,26.0,-21.0,51.0,1027.0,-13.0,1,73.75,0.0,2010-01-04 07:00:00
80,2010,1,4,8,4,27.0,-22.0,46.0,1028.0,-13.0,1,80.9,0.0,2010-01-04 08:00:00
81,2010,1,4,9,4,27.0,-22.0,46.0,1029.0,-13.0,1,90.73,0.0,2010-01-04 09:00:00
82,2010,1,4,10,4,25.0,-22.0,43.0,1030.0,-12.0,1,100.56,0.0,2010-01-04 10:00:00
83,2010,1,4,11,4,29.0,-23.0,39.0,1031.0,-12.0,1,108.61,0.0,2010-01-04 11:00:00
84,2010,1,4,12,4,32.0,-21.0,43.0,1030.0,-11.0,1,117.55,0.0,2010-01-04 12:00:00
85,2010,1,4,13,4,28.0,-20.0,43.0,1030.0,-10.0,1,127.38,0.0,2010-01-04 13:00:00
86,2010,1,4,14,4,29.0,-21.0,40.0,1030.0,-10.0,1,136.32,0.0,2010-01-04 14:00:00
87,2010,1,4,15,4,30.0,-21.0,37.0,1030.0,-9.0,1,145.26,0.0,2010-01-04 15:00:00
88,2010,1,4,16,4,30.0,-21.0,37.0,1031.0,-9.0,1,152.41,0.0,2010-01-04 16:00:00
89,2010,1,4,17,4,28.0,-20.0,47.0,1032.0,-11.0,1,159.56,0.0,2010-01-04 17:00:00
90,2010,1,4,18,4,26.0,-23.0,36.0,1032.0,-11.0,1,165.37,0.0,2010-01-04 18:00:00
91,2010,1,4,19,4,31.0,-21.0,47.0,1033.0,-12.0,1,171.18,0.0,2010-01-04 19:00:00
92,2010,1,4,20,4,33.0,-24.0,36.0,1034.0,-12.0,1,180.12,0.0,2010-01-04 20:00:00
93,2010,1,4,21,4,29.0,-24.0,39.0,1034.0,-13.0,1,187.27,0.0,2010-01-04 21:00:00
94,2010,1,4,22,4,31.0,-24.0,39.0,1035.0,-13.0,1,195.32,0.0,2010-01-04 22:00:00
95,2010,1,4,23,4,30.0,-26.0,38.0,1035.0,-15.0,1,198.45,0.0,2010-01-04 23:00:00
96,2010,1,5,0,4,34.0,-26.0,45.0,1035.0,-17.0,1,201.58,0.0,2010-01-05 00:00:00
97,2010,1,5,1,4,27.0,-26.0,49.0,1035.0,-18.0,1,205.6,0.0,2010-01-05 01:00:00
98,2010,1,5,2,4,25.0,-26.0,53.0,1035.0,-19.0,1,208.73,0.0,2010-01-05 02:00:00
99,2010,1,5,3,4,28.0,-27.0,45.0,1035.0,-18.0,1,213.65,0.0,2010-01-05 03:00:00
100,2010,1,5,4,4,28.0,-27.0,49.0,1035.0,-19.0,1,218.57,0.0,2010-01-05 04:00:00
101,2010,1,5,5,4,27.0,-27.0,38.0,1034.0,-16.0,2,4.92,0.0,2010-01-05 05:00:00
102,2010,1,5,6,4,27.0,-26.0,41.0,1035.0,-16.0,2,8.05,0.0,2010-01-05 06:00:00
103,2010,1,5,7,4,27.0,-27.0,38.0,1034.0,-16.0,2,13.86,0.0,2010-01-05 07:00:00
104,2010,1,5,8,4,29.0,-26.0,41.0,1035.0,-16.0,2,18.78,0.0,2010-01-05 08:00:00
105,2010,1,5,9,4,36.0,-26.0,38.0,1035.0,-15.0,2,24.59,0.0,2010-01-05 09:00:00
106,2010,1,5,10,4,30.0,-25.0,38.0,1035.0,-14.0,2,29.51,0.0,2010-01-05 10:00:00
107,2010,1,5,11,4,27.0,-25.0,35.0,1035.0,-13.0,2,34.43,0.0,2010-01-05 11:00:00
108,2010,1,5,12,4,39.0,-25.0,33.0,1034.0,-12.0,2,39.35,0.0,2010-01-05 12:00:00
109,2010,1,5,13,4,41.0,-24.0,33.0,1032.0,-11.0,2,41.14,0.0,2010-01-05 13:00:00
110,2010,1,5,14,4,33.0,-22.0,39.0,1032.0,-11.0,0,0.89,0.0,2010-01-05 14:00:00
111,2010,1,5,15,4,50.0,-23.0,36.0,1031.0,-11.0,1,1.79,0.0,2010-01-05 15:00:00
112,2010,1,5,16,4,56.0,-24.0,33.0,1031.0,-11.0,1,3.58,0.0,2010-01-05 16:00:00
113,2010,1,5,17,4,59.0,-23.0,36.0,1031.0,-11.0,1,5.37,0.0,2010-01-05 17:00:00
114,2010,1,5,18,4,60.0,-23.0,36.0,1032.0,-11.0,1,7.16,0.0,2010-01-05 18:00:00
115,2010,1,5,19,4,84.0,-22.0,46.0,1033.0,-13.0,1,10.29,0.0,2010-01-05 19:00:00
116,2010,1,5,20,4,106.0,-22.0,43.0,1033.0,-12.0,1,13.42,0.0,2010-01-05 20:00:00
117,2010,1,5,21,4,66.0,-24.0,59.0,1033.0,-18.0,1,16.55,0.0,2010-01-05 21:00:00
118,2010,1,5,22,4,50.0,-22.0,46.0,1034.0,-13.0,1,20.57,0.0,2010-01-05 22:00:00
119,2010,1,5,23,4,56.0,-22.0,59.0,1033.0,-16.0,1,23.7,0.0,2010-01-05 23:00:00
120,2010,1,6,0,4,77.0,-25.0,49.0,1033.0,-17.0,1,26.83,0.0,2010-01-06 00:00:00
121,2010,1,6,1,4,50.0,-25.0,38.0,1033.0,-14.0,2,4.02,0.0,2010-01-06 01:00:00
122,2010,1,6,2,4,44.0,-26.0,35.0,1034.0,-14.0,2,8.04,0.0,2010-01-06 02:00:00
123,2010,1,6,3,4,27.0,-26.0,35.0,1033.0,-14.0,2,13.85,0.0,2010-01-06 03:00:00
124,2010,1,6,4,4,28.0,-26.0,35.0,1033.0,-14.0,2,17.87,0.0,2010-01-06 04:00:00
125,2010,1,6,5,4,21.0,-26.0,35.0,1033.0,-14.0,2,23.68,0.0,2010-01-06 05:00:00
126,2010,1,6,6,4,25.0,-26.0,35.0,1033.0,-14.0,2,28.6,0.0,2010-01-06 06:00:00
127,2010,1,6,7,4,20.0,-26.0,38.0,1034.0,-15.0,2,33.52,0.0,2010-01-06 07:00:00
128,2010,1,6,8,4,29.0,-26.0,35.0,1034.0,-14.0,2,39.33,0.0,2010-01-06 08:00:00
129,2010,1,6,9,4,34.0,-25.0,35.0,1035.0,-13.0,2,44.25,0.0,2010-01-06 09:00:00
130,2010,1,6,10,4,42.0,-25.0,33.0,1035.0,-12.0,2,50.06,0.0,2010-01-06 10:00:00
131,2010,1,6,11,4,28.0,-24.0,33.0,1035.0,-11.0,2,54.98,0.0,2010-01-06 11:00:00
132,2010,1,6,12,4,36.0,-24.0,30.0,1034.0,-10.0,2,59.0,0.0,2010-01-06 12:00:00
133,2010,1,6,13,4,48.0,-22.0,36.0,1033.0,-10.0,1,4.02,0.0,2010-01-06 13:00:00
134,2010,1,6,14,4,49.0,-22.0,34.0,1033.0,-9.0,1,5.81,0.0,2010-01-06 14:00:00
135,2010,1,6,15,4,52.0,-22.0,31.0,1033.0,-8.0,0,0.89,0.0,2010-01-06 15:00:00
136,2010,1,6,16,4,56.0,-22.0,31.0,1033.0,-8.0,1,1.79,0.0,2010-01-06 16:00:00
137,2010,1,6,17,4,96.0,-21.0,37.0,1033.0,-9.0,1,3.58,0.0,2010-01-06 17:00:00
138,2010,1,6,18,4,75.0,-22.0,34.0,1033.0,-9.0,1,5.37,0.0,2010-01-06 18:00:00
139,2010,1,6,19,4,105.0,-22.0,50.0,1034.0,-14.0,0,0.89,0.0,2010-01-06 19:00:00
140,2010,1,6,20,4,132.0,-22.0,43.0,1035.0,-12.0,1,1.79,0.0,2010-01-06 20:00:00
141,2010,1,6,21,4,93.0,-21.0,55.0,1034.0,-14.0,1,3.58,0.0,2010-01-06 21:00:00
142,2010,1,6,22,4,131.0,-22.0,59.0,1035.0,-16.0,1,5.37,0.0,2010-01-06 22:00:00
143,2010,1,6,23,4,127.0,-21.0,65.0,1035.0,-16.0,1,7.16,0.0,2010-01-06 23:00:00
144,2010,1,7,0,4,130.0,-21.0,65.0,1035.0,-16.0,1,8.95,0.0,2010-01-07 00:00:00
145,2010,1,7,1,4,43.0,-21.0,65.0,1035.0,-16.0,0,0.45,0.0,2010-01-07 01:00:00
146,2010,1,7,2,4,37.0,-22.0,70.0,1036.0,-18.0,0,1.34,0.0,2010-01-07 02:00:00
147,2010,1,7,3,4,30.0,-23.0,50.0,1036.0,-15.0,1,4.02,0.0,2010-01-07 03:00:00
148,2010,1,7,4,4,28.0,-24.0,50.0,1035.0,-16.0,1,7.15,0.0,2010-01-07 04:00:00
149,2010,1,7,5,4,24.0,-25.0,42.0,1035.0,-15.0,1,10.28,0.0,2010-01-07 05:00:00
150,2010,1,7,6,4,23.0,-24.0,46.0,1035.0,-15.0,1,14.3,0.0,2010-01-07 06:00:00
151,2010,1,7,7,4,24.0,-25.0,35.0,1036.0,-13.0,2,4.92,0.0,2010-01-07 07:00:00
152,2010,1,7,8,4,27.0,-24.0,42.0,1036.0,-14.0,1,4.02,0.0,2010-01-07 08:00:00
153,2010,1,7,9,4,40.0,-23.0,39.0,1036.0,-12.0,1,8.94,0.0,2010-01-07 09:00:00
154,2010,1,7,10,4,42.0,-22.0,39.0,1036.0,-11.0,1,12.96,0.0,2010-01-07 10:00:00
155,2010,1,7,11,4,42.0,-20.0,43.0,1036.0,-10.0,1,16.09,0.0,2010-01-07 11:00:00
156,2010,1,7,12,4,55.0,-21.0,37.0,1035.0,-9.0,1,19.22,0.0,2010-01-07 12:00:00
157,2010,1,7,13,4,52.0,-21.0,34.0,1034.0,-8.0,1,21.01,0.0,2010-01-07 13:00:00
158,2010,1,7,14,4,51.0,-20.0,34.0,1033.0,-7.0,1,22.8,0.0,2010-01-07 14:00:00
159,2010,1,7,15,4,57.0,-20.0,34.0,1032.0,-7.0,1,24.59,0.0,2010-01-07 15:00:00
160,2010,1,7,16,4,50.0,-18.0,44.0,1032.0,-8.0,1,26.38,0.0,2010-01-07 16:00:00
161,2010,1,7,17,4,54.0,-19.0,44.0,1032.0,-9.0,1,28.17,0.0,2010-01-07 17:00:00
162,2010,1,7,18,4,67.0,-19.0,51.0,1032.0,-11.0,2,0.89,0.0,2010-01-07 18:00:00
163,2010,1,7,19,4,106.0,-18.0,56.0,1033.0,-11.0,1,1.79,0.0,2010-01-07 19:00:00
164,2010,1,7,20,4,159.0,-19.0,71.0,1032.0,-15.0,2,1.79,0.0,2010-01-07 20:00:00
165,2010,1,7,21,4,198.0,-19.0,65.0,1032.0,-14.0,0,0.45,0.0,2010-01-07 21:00:00
166,2010,1,7,22,4,190.0,-21.0,55.0,1032.0,-14.0,0,1.34,0.0,2010-01-07 22:00:00
167,2010,1,7,23,4,210.0,-21.0,65.0,1032.0,-16.0,0,2.23,0.0,2010-01-07 23:00:00
168,2010,1,8,0,4,195.0,-21.0,71.0,1031.0,-17.0,1,1.79,0.0,2010-01-08 00:00:00
169,2010,1,8,1,4,275.0,-19.0,77.0,1031.0,-16.0,1,3.58,0.0,2010-01-08 01:00:00
170,2010,1,8,2,4,164.0,-20.0,71.0,1031.0,-16.0,2,0.89,0.0,2010-01-08 02:00:00
171,2010,1,8,3,4,110.0,-19.0,71.0,1030.0,-15.0,3,0.89,0.0,2010-01-08 03:00:00
172,2010,1,8,4,4,100.0,-18.0,77.0,1030.0,-15.0,0,0.45,0.0,2010-01-08 04:00:00
173,2010,1,8,5,4,81.0,-18.0,77.0,1029.0,-15.0,0,1.34,0.0,2010-01-08 05:00:00
174,2010,1,8,6,4,71.0,-18.0,77.0,1029.0,-15.0,1,1.79,0.0,2010-01-08 06:00:00
175,2010,1,8,7,4,66.0,-16.0,78.0,1029.0,-13.0,2,0.89,0.0,2010-01-08 07:00:00
176,2010,1,8,8,4,92.0,-16.0,72.0,1029.0,-12.0,3,0.89,0.0,2010-01-08 08:00:00
177,2010,1,8,9,4,135.0,-16.0,72.0,1030.0,-12.0,3,1.78,0.0,2010-01-08 09:00:00
178,2010,1,8,10,4,155.0,-17.0,56.0,1030.0,-10.0,2,0.89,0.0,2010-01-08 10:00:00
179,2010,1,8,11,4,198.0,-16.0,61.0,1029.0,-10.0,0,0.89,0.0,2010-01-08 11:00:00
180,2010,1,8,12,4,250.0,-16.0,56.0,1028.0,-9.0,3,3.13,0.0,2010-01-08 12:00:00
181,2010,1,8,13,4,200.0,-15.0,57.0,1026.0,-8.0,3,4.92,0.0,2010-01-08 13:00:00
182,2010,1,8,14,4,231.0,-16.0,52.0,1026.0,-8.0,0,0.89,0.0,2010-01-08 14:00:00
183,2010,1,8,15,4,250.0,-16.0,52.0,1025.0,-8.0,0,1.78,0.0,2010-01-08 15:00:00
184,2010,1,8,16,4,212.0,-16.0,52.0,1025.0,-8.0,0,2.67,0.0,2010-01-08 16:00:00
185,2010,1,8,17,4,219.0,-17.0,48.0,1025.0,-8.0,3,0.89,0.0,2010-01-08 17:00:00
186,2010,1,8,18,4,227.0,-17.0,52.0,1026.0,-9.0,0,0.45,0.0,2010-01-08 18:00:00
187,2010,1,8,19,4,226.0,-17.0,61.0,1026.0,-11.0,0,1.34,0.0,2010-01-08 19:00:00
188,2010,1,8,20,4,225.0,-17.0,66.0,1026.0,-12.0,0,1.79,0.0,2010-01-08 20:00:00
189,2010,1,8,21,4,168.0,-18.0,71.0,1027.0,-14.0,1,1.79,0.0,2010-01-08 21:00:00
190,2010,1,8,22,4,169.0,-16.0,56.0,1027.0,-9.0,1,4.92,0.0,2010-01-08 22:00:00
191,2010,1,8,23,4,165.0,-16.0,66.0,1027.0,-11.0,1,6.71,0.0,2010-01-08 23:00:00
192,2010,1,9,0,4,159.0,-17.0,71.0,1027.0,-13.0,0,0.89,0.0,2010-01-09 00:00:00
193,2010,1,9,1,4,167.0,-17.0,71.0,1027.0,-13.0,1,3.13,0.0,2010-01-09 01:00:00
194,2010,1,9,2,4,196.0,-17.0,77.0,1027.0,-14.0,1,4.92,0.0,2010-01-09 02:00:00
195,2010,1,9,3,4,169.0,-17.0,84.0,1027.0,-15.0,1,8.05,0.0,2010-01-09 03:00:00
196,2010,1,9,4,4,155.0,-17.0,71.0,1027.0,-13.0,1,9.84,0.0,2010-01-09 04:00:00
197,2010,1,9,5,4,119.0,-19.0,77.0,1027.0,-16.0,1,13.86,0.0,2010-01-09 05:00:00
198,2010,1,9,6,4,106.0,-18.0,77.0,1027.0,-15.0,1,17.88,0.0,2010-01-09 06:00:00
199,2010,1,9,7,4,93.0,-19.0,71.0,1027.0,-15.0,1,21.9,0.0,2010-01-09 07:00:00
200,2010,1,9,8,4,84.0,-18.0,71.0,1028.0,-14.0,1,25.92,0.0,2010-01-09 08:00:00
201,2010,1,9,9,4,73.0,-18.0,48.0,1029.0,-9.0,2,5.81,0.0,2010-01-09 09:00:00
202,2010,1,9,10,4,66.0,-17.0,44.0,1029.0,-7.0,2,11.62,0.0,2010-01-09 10:00:00
203,2010,1,9,11,4,40.0,-17.0,41.0,1030.0,-6.0,2,17.43,0.0,2010-01-09 11:00:00
204,2010,1,9,12,4,49.0,-16.0,45.0,1029.0,-6.0,2,23.24,0.0,2010-01-09 12:00:00
205,2010,1,9,13,4,50.0,-16.0,41.0,1029.0,-5.0,2,28.16,0.0,2010-01-09 13:00:00
206,2010,1,9,14,4,49.0,-15.0,42.0,1029.0,-4.0,2,33.08,0.0,2010-01-09 14:00:00
207,2010,1,9,15,4,41.0,-14.0,45.0,1028.0,-4.0,2,37.1,0.0,2010-01-09 15:00:00
208,2010,1,9,16,4,37.0,-15.0,42.0,1029.0,-4.0,2,38.89,0.0,2010-01-09 16:00:00
209,2010,1,9,17,4,45.0,-15.0,42.0,1030.0,-4.0,1,1.79,0.0,2010-01-09 17:00:00
210,2010,1,9,18,4,44.0,-15.0,52.0,1030.0,-7.0,2,3.13,0.0,2010-01-09 18:00:00
211,2010,1,9,19,4,54.0,-15.0,48.0,1031.0,-6.0,1,3.13,0.0,2010-01-09 19:00:00
212,2010,1,9,20,4,50.0,-15.0,52.0,1032.0,-7.0,1,4.92,0.0,2010-01-09 20:00:00
213,2010,1,9,21,4,47.0,-15.0,48.0,1032.0,-6.0,2,3.13,0.0,2010-01-09 21:00:00
214,2010,1,9,22,4,66.0,-15.0,57.0,1033.0,-8.0,0,0.45,0.0,2010-01-09 22:00:00
215,2010,1,9,23,4,75.0,-15.0,57.0,1033.0,-8.0,0,0.9,0.0,2010-01-09 23:00:00
216,2010,1,10,0,4,82.0,-15.0,72.0,1033.0,-11.0,1,0.89,0.0,2010-01-10 00:00:00
217,2010,1,10,1,4,66.0,-17.0,71.0,1033.0,-13.0,1,1.78,0.0,2010-01-10 01:00:00
218,2010,1,10,2,4,83.0,-17.0,66.0,1033.0,-12.0,1,4.91,0.0,2010-01-10 02:00:00
219,2010,1,10,3,4,62.0,-17.0,71.0,1033.0,-13.0,1,8.04,0.0,2010-01-10 03:00:00
220,2010,1,10,4,4,40.0,-19.0,65.0,1032.0,-14.0,1,9.83,0.0,2010-01-10 04:00:00
221,2010,1,10,5,4,23.0,-18.0,66.0,1032.0,-13.0,1,12.96,0.0,2010-01-10 05:00:00
222,2010,1,10,6,4,25.0,-19.0,60.0,1032.0,-13.0,1,16.09,0.0,2010-01-10 06:00:00
223,2010,1,10,7,4,27.0,-19.0,65.0,1033.0,-14.0,1,19.22,0.0,2010-01-10 07:00:00
224,2010,1,10,8,4,35.0,-19.0,65.0,1034.0,-14.0,1,22.35,0.0,2010-01-10 08:00:00
225,2010,1,10,9,4,50.0,-17.0,66.0,1033.0,-12.0,1,24.14,0.0,2010-01-10 09:00:00
226,2010,1,10,10,4,70.0,-16.0,48.0,1033.0,-7.0,2,4.02,0.0,2010-01-10 10:00:00
227,2010,1,10,11,4,75.0,-15.0,52.0,1033.0,-7.0,1,3.13,0.0,2010-01-10 11:00:00
228,2010,1,10,12,4,58.0,-15.0,52.0,1032.0,-7.0,1,6.26,0.0,2010-01-10 12:00:00
229,2010,1,10,13,4,70.0,-14.0,53.0,1031.0,-6.0,1,9.39,0.0,2010-01-10 13:00:00
230,2010,1,10,14,4,68.0,-14.0,53.0,1031.0,-6.0,1,12.52,0.0,2010-01-10 14:00:00
231,2010,1,10,15,4,71.0,-13.0,53.0,1030.0,-5.0,1,14.31,0.0,2010-01-10 15:00:00
232,2010,1,10,16,4,88.0,-14.0,49.0,1031.0,-5.0,1,16.1,0.0,2010-01-10 16:00:00
233,2010,1,10,17,4,84.0,-14.0,53.0,1031.0,-6.0,1,19.23,0.0,2010-01-10 17:00:00
234,2010,1,10,18,4,83.0,-13.0,62.0,1032.0,-7.0,1,23.25,0.0,2010-01-10 18:00:00
